State,ind,grp,indper,grpper
Alabama,3.13,0.70,2.0,0.2
Alaska,16.29,18.86,5.5,4.9
Arizona,15.02,12.26,6.9,4.6
Arkansas,10.47,14.52,6.1,5.1
California,13.32,21.26,7.6,6.9
Colorado,11.29,12.90,6.1,3.8
Connecticut,13.65,16.96,4.9,4.2
Delaware,23.43,18.27,9.6,5.0
Florida,12.68,17.99,5.7,4.9
Georgia,13.99,15.25,6.6,5.6
Hawaii,0.15,4.01,0.1,1.2
Idaho,10.32,9.60,7.1,3.7
Illinois,15.83,17.52,7.0,4.8
Indiana,11.83,16.11,5.7,4.9
Iowa,14.47,18.42,6.8,6.6
Kansas,6.63,5.51,3.5,2.2
Kentucky,8.36,14.29,4.0,4.7
Louisiana,10.76,14.50,4.7,4.4
Maine,6.43,11.25,2.1,3.4
Maryland,11.28,22.81,5.8,6.7
Massachusetts,5.79,9.68,1.7,2.5
Michigan,9.95,18.29,5.0,5.2
Minnesota,8.09,9.45,3.9,2.7
Mississippi,13.12,15.94,6.4,5.5
Missouri,14.10,14.47,7.4,4.7
Montana,12.75,15.38,6.5,5.0
Nebraska,14.94,21.42,6.7,6.5
Nevada,15.46,20.77,7.5,6.7
"New Hampshire",17.39,16.77,6.5,4.2
"New Jersey",6.84,19.41,1.9,5.7
"New Mexico",10.25,18.82,5.4,5.3
"New York",4.16,16.68,0.9,4.4
"North Carolina",10.82,18.49,5.3,5.6
"North Dakota",4.49,1.91,2.0,0.7
Ohio,18.38,15.70,9.2,5.6
Oklahoma,12.42,17.59,6.3,5.3
Oregon,8.58,13.07,4.0,4.0
Pennsylvania,8.60,10.90,3.9,3.1
"Rhode Island",0.43,11.02,0.2,2.9
"South Carolina",20.85,17.52,9.7,5.6
"South Dakota",13.66,13.09,6.7,4.1
Tennessee,11.21,16.72,5.5,5.6
Texas,16.92,15.52,8.6,5.0
Utah,8.50,17.34,5.5,7.2
Vermont,0.52,12.42,0.1,4.1
Virginia,11.58,16.78,5.0,4.9
Washington,10.67,14.78,4.8,4.3
"West Virginia",16.69,18.51,6.2,5.0
Wisconsin,14.71,12.47,7.1,3.7
Wyoming,12.73,13.08,4.9,3.4
